id,label,type,description,lens,examples,terminology,notes
number of informal private providers,number of informal private providers,,,social,,,
use of video lectures ⎻ subject: education (instructor),use of video lectures,, ⎻ subject: education (instructor),digital,,,
instances of social interaction,instances of social interaction,,,social,,,
instances of social interaction ⎺ with strangers,instances of social interaction,, ⎺ with strangers,social,,,
instances of interpersonal conflict,instances of interpersonal conflict,,,social,,,
restrictions on item purchase quantity,restrictions on item purchase quantity,,,governmental/political,,,
difficulty of coordinating remote learning schedules,difficulty of coordinating remote learning schedules,,,social,,,
provision of masks ⎺ by hospitals,provision of masks,, ⎺ by hospitals,manufactured,,,
provision of masks ⎺ by government,provision of masks,, ⎺ by government,manufactured,,,
number of masks worn,number of masks worn,,,manufactured,,,
frequency of receiving massages,frequency of receiving massages,,,individual/human,,,
instances of missed diagnostic opportunities for TB ⎻ subject: provider (any),instances of missed diagnostic opportunities for TB,, ⎻ subject: provider (any),social,,,
number of missing TB cases,number of missing TB cases,,,social,,,
instances of patient visits,instances of patient visits,,,social,,,
maximum  gathering size,maximum  gathering size,,,governmental/political,,,
number of masked people nearby,number of masked people nearby,,,social,,,
size of household ⎽ when: under lockdown,size of household,, ⎽ when: under lockdown,social,,,
number of people eating on the streets,number of people eating on the streets,,,social,,,
number of people interacting ⎼ where: in public spaces,number of people interacting,, ⎼ where: in public spaces,social,,,
maximum  simultaneous speakers,maximum  simultaneous speakers,,,digital,,,
number of household members needing care,number of household members needing care,,,social,,,
prevalence of proper mask technique,prevalence of proper mask technique,,,cultural,,,
prevalence of working from home,prevalence of working from home,,,social,,,
number of private providers,number of private providers,,,social,,,
willingness to purchase a species ⎻ subject: consumer,willingness to purchase a species,, ⎻ subject: consumer,,,,
number of video lectures recorded,number of video lectures recorded,,,digital,,,
number of reuses per mask,number of reuses per mask,,,manufactured,,,
number of revenue-generating videos produced,number of revenue-generating videos produced,,,digital,,,
use of non-specific TB treatments,use of non-specific TB treatments,,,social,broad-spectrum antibiotics,,
number of social distancing partitions ⎼ where: in public spaces,number of social distancing partitions,, ⎼ where: in public spaces,cultural,,,
instances of sales and promotions,instances of sales and promotions,,,manufactured,,,
number of TB deaths,number of TB deaths,,,social,,,
instances of temperature screening ⎼ where: in public spaces,instances of temperature screening,, ⎼ where: in public spaces,cultural,,,
instances of switching between public and private providers,instances of switching between public and private providers,,,individual/human,,,
instances of switching between private providers,instances of switching between private providers,,,individual/human,,,
number of acceptable conversation topics,number of acceptable conversation topics,,,cultural,,,
number of tourists,number of tourists,,,social,,,
maximum  hospital visitors,maximum  hospital visitors,,,governmental/political,,,
quality of food ⎺ nutritional value,quality of food,, ⎺ nutritional value,individual/human,,,
probability of misunderstanding or disagreement,probability of misunderstanding or disagreement,,,social,,,
efficiency of communicating public health measures ⎻ subject: organization (any),efficiency of communicating public health measures,, ⎻ subject: organization (any),governmental/political,,,
temperature  outside,temperature  outside,,,ecological/natural,,,
  collaborative work,  collaborative work,,,social,,,
participation in indoor social events,participation in indoor social events,,,social,,,
participation in indoor social events,participation in indoor social events,,,social,,,
capacity to social distance,capacity to social distance,,,individual/human,,,
confidence in ability to change circumstances,confidence in ability to change circumstances,,,individual/human,,,
perception of lifestyle change due to COVID-19 pandemic,perception of lifestyle change due to COVID-19 pandemic,,,individual/human,,,
perception of cleanliness of street market,perception of cleanliness of street market,,,manufactured,,,
convenience of working from home,convenience of working from home,,,individual/human,,,
perception of effectiveness of alternatives to medical-grade masks,perception of effectiveness of alternatives to medical-grade masks,,,manufactured,,,
perception of generosity in others,perception of generosity in others,,,social,,,
perception of greed in others,perception of greed in others,,,social,,,
perception of health in a masked person,perception of health in a masked person,,,social,,,
perception of health in others,perception of health in others,,,social,,,
perception of surveillance ⎽ when: during remote learning,perception of surveillance,, ⎽ when: during remote learning,digital,,,
perception of pandemic preparedness,perception of pandemic preparedness,,,individual/human,,,
opinion of medication from public provider,opinion of medication from public provider,,,cultural,,,
opinion of remote learning,opinion of remote learning,,,individual/human,,,
perception of regularity of social media activity,perception of regularity of social media activity,,,digital,,,
perception of food safety,perception of food safety,,,individual/human,,,
perception of scarcity ⎺ of basic necessities,perception of scarcity,, ⎺ of basic necessities,social,,,
perception of scarcity ⎺ of personal protective equipment,perception of scarcity,, ⎺ of personal protective equipment,manufactured,,,
pride,pride,,,individual/human,,,
perception of responsibility ⎺ for public health awareness,perception of responsibility,, ⎺ for public health awareness,individual/human,,,
perception of stability,perception of stability,,,social,,,
perception of severity of illness ⎻ subject: provider (any),perception of severity of illness,, ⎻ subject: provider (any),individual/human,,,
perception of specificity of sputum TB test ⎻ subject: provider (any),perception of specificity of sputum TB test,, ⎻ subject: provider (any),individual/human,,,
perception of speed of chest X-rays ⎻ subject: provider (any),perception of speed of chest X-rays,, ⎻ subject: provider (any),individual/human,,,
perception of risk of COVID-19 infection ⎼ where: outside,perception of risk of COVID-19 infection,, ⎼ where: outside,individual/human,,,
perception of health ⎺ of the economy,perception of health,, ⎺ of the economy,social,,,
adherence to public health measures,adherence to public health measures,,,individual/human,,,
 with pandemic coping strategies, with pandemic coping strategies,,,individual/human,,,
value of personal savings,value of personal savings,,,financial,,,
access to storage space,access to storage space,,,manufactured,,,
stock of basic necessities,stock of basic necessities,,,manufactured,,,
stock of personal protective equipment,stock of personal protective equipment,,,manufactured,,,
fatigue ⎺ physical,fatigue,, ⎺ physical,individual/human,,,
physical health,physical health,,,individual/human,,,
 of political polarization, of political polarization,,,cultural,,,
density of countryside population,density of countryside population,,,social,,,
size of household,size of household,,,social,,,
instances of positive interaction with public provider,instances of positive interaction with public provider,,,social,,,
opinion of private provider,opinion of private provider,,,cultural,,,
opinion of public provider,opinion of public provider,,,cultural,,,
opinion of public sputum microscopy services ⎻ subject: provider (private),opinion of public sputum microscopy services,, ⎻ subject: provider (private),cultural,,,
opinion of public X-ray services ⎻ subject: provider (private),opinion of public X-ray services,, ⎻ subject: provider (private),cultural,,,
strength of imagination,strength of imagination,,,individual/human,,,
practice of patient pathway analysis,practice of patient pathway analysis,,,social,,,
practice of standardized patient analysis,practice of standardized patient analysis,,,social,,,
practice of TB care cascade analysis,practice of TB care cascade analysis,,,social,,,
practice of TB care operations analysis,practice of TB care operations analysis,,,social,,,
practice of patient counseling upon discharge,practice of patient counseling upon discharge,,,social,,,
"engagement with patients, caregivers, and communities in health decisions","engagement with patients, caregivers, and communities in health decisions",,,cultural,,,
practice of knowledge management and data-sharing,practice of knowledge management and data-sharing,,,digital,,,
practice of identifying unreported cases in medical records,practice of identifying unreported cases in medical records,,,social,,mopping up,
preference for alternative/ayurvedic provider,preference for alternative/ayurvedic provider,,,individual/human,,,
preference for chest X-ray ⎻ subject: provider (private),preference for chest X-ray,, ⎻ subject: provider (private),individual/human,,,
preference for cultured sputum test ⎻ subject: provider (private),preference for cultured sputum test,, ⎻ subject: provider (private),individual/human,,,
preference for GeneXpert ⎻ subject: provider (private),preference for GeneXpert,, ⎻ subject: provider (private),individual/human,,,
preference for indoor recreational activities,preference for indoor recreational activities,,,individual/human,,,
preference for antibiotics without TB test ⎻ subject: provider (private),preference for antibiotics without TB test,, ⎻ subject: provider (private),individual/human,,,
preference for Mycobacteria Growth Indicator Tube ⎻ subject: provider (private),preference for Mycobacteria Growth Indicator Tube,, ⎻ subject: provider (private),individual/human,,MGIT,
preference for private provider,preference for private provider,,,social,,,
preference for public provider,preference for public provider,,,social,,,
preference for smear microscopy ⎻ subject: provider (private),preference for smear microscopy,, ⎻ subject: provider (private),individual/human,,,
preference for self-medication,preference for self-medication,,,individual/human,,,
stress from sociocultural norms ⎺ good behavior,stress from sociocultural norms,, ⎺ good behavior,cultural,,,
stress from sociocultural norms ⎺ punctuality,stress from sociocultural norms,, ⎺ punctuality,cultural,,,
prevalence of multidrug-resistant TB,prevalence of multidrug-resistant TB,,,social,,MDRTB,
cost of food,cost of food,,,financial,,,
cost of personal protective equipment,cost of personal protective equipment,,,financial,,,
cost of housing ⎺ rent,cost of housing,, ⎺ rent,financial,,,
pride in personal accomplishments,pride in personal accomplishments,,,individual/human,,,
prioritization of stakeholder engagement,prioritization of stakeholder engagement,,,governmental/political,,,
prioritization of capacity-building for evidence-driven action,prioritization of capacity-building for evidence-driven action,,,governmental/political,"training, coaching, and supervision",,
prioritization of clinic flow improvements,prioritization of clinic flow improvements,,,governmental/political,,,
prioritization of healthcare ethics,prioritization of healthcare ethics,,,social,,,
prioritization of local-level accountability,prioritization of local-level accountability,,,governmental/political,,,
prioritization of progress-monitoring and accountability-building,prioritization of progress-monitoring and accountability-building,,,governmental/political,,,
fear of negative reaction from patient to a TB diagnosis ⎻ subject: provider (private),fear of negative reaction from patient to a TB diagnosis,, ⎻ subject: provider (private),social,,,
willingness to cooperate with the government ⎻ subject: provider (private),willingness to cooperate with the government,, ⎻ subject: provider (private),governmental/political,,,
 with TB status notification methods ⎻ subject: provider (private), with TB status notification methods,, ⎻ subject: provider (private),digital,,,
perception of COVID-19 as supernatural punishment against humanity,perception of COVID-19 as supernatural punishment against humanity,,,individual/human,,,
perception of COVID-19 as supernatural assistance to nature,perception of COVID-19 as supernatural assistance to nature,,,individual/human,,,
probability of response to student question ⎽ when: remote learning,probability of response to student question,, ⎽ when: remote learning,social,,,
profit,profit,,,financial,,,
suspicion of drug-resistant TB infection ⎻ subject: provider (any),suspicion of drug-resistant TB infection,, ⎻ subject: provider (any),individual/human,,,
mental health ⎼ where: at work or at school,mental health,, ⎼ where: at work or at school,individual/human,,,
spending on healthcare ⎻ subject: government,spending on healthcare,, ⎻ subject: government,financial,,,
spending on medical education subsidies ⎻ subject: government,spending on medical education subsidies,, ⎻ subject: government,financial,,,
quality of private healthcare,quality of private healthcare,,,social,,,
quality of communication between private providers,quality of communication between private providers,,,social,,,
strength of patient-physician relationship,strength of patient-physician relationship,,,social,,,
strength of friendships,strength of friendships,,,social,,,
strength of family relationships,strength of family relationships,,,social,,,
quality of TB services,quality of TB services,,,social,,,
" of case load ⎻ subject: provider (private, formal)", of case load,," ⎻ subject: provider (private, formal)",social,,,
" of case load ⎻ subject: provider (private, informal)", of case load,," ⎻ subject: provider (private, informal)",social,,,
 of infectivity, of infectivity,,,ecological/natural,,,
rate of email response,rate of email response,,,individual/human,,,
practice of referral to the public TB program ⎻ subject: provider (private),practice of referral to the public TB program,, ⎻ subject: provider (private),social,,,
regularity of daily routine,regularity of daily routine,,,individual/human,,,
dependence on online resources for completing assignments,dependence on online resources for completing assignments,,,digital,,,
dependence on social media and search engines for news,dependence on social media and search engines for news,,,digital,,,
spending on healthcare system,spending on healthcare system,,,governmental/political,,,
responsibility for entertaining children ⎻ subject: family (parent),responsibility for entertaining children,, ⎻ subject: family (parent),social,,,
responsibility for supervising learning ⎻ subject: education (instructor),responsibility for supervising learning,, ⎻ subject: education (instructor),social,,,
responsibility for supervising learning ⎻ subject: family (parent),responsibility for supervising learning,, ⎻ subject: family (parent),social,,,
profit ⎻ subject: business (restaurant),profit,, ⎻ subject: business (restaurant),financial,,,
enforcement of public health restrictions,enforcement of public health restrictions,,,governmental/political,,,
restrictions on product purchasing practices,restrictions on product purchasing practices,,,governmental/political,,,
risk of becoming a COVID-19 hotspot,risk of becoming a COVID-19 hotspot,,,social,,,
risk of COVID-19 infection ⎺ age-related,risk of COVID-19 infection,, ⎺ age-related,individual/human,,,
risk of working in-person,risk of working in-person,,,individual/human,,,
strength of TB care cascade,strength of TB care cascade,,,governmental/political,,,
strength of policy support ,strength of policy support ,,,governmental/political,,,
satisfaction with government policies,satisfaction with government policies,,,individual/human,,,
satisfaction with home-cooked meals,satisfaction with home-cooked meals,,,individual/human,,,
satisfaction with remote learning,satisfaction with remote learning,,,individual/human,,,
capacity to private providers,capacity to private providers,,,social,,,
perception of belonging,perception of belonging,,,social,,,
perception of loneliness,perception of loneliness,,,social,,,
perception of responsibility,perception of responsibility,,,individual/human,,,
perception of urgency ⎽ when: concentrating while remote learning,perception of urgency,, ⎽ when: concentrating while remote learning,individual/human,,,
perception of urgency ⎽ when: finding a job,perception of urgency,, ⎽ when: finding a job,individual/human,,,
perception of urgency ⎽ when: preparation,perception of urgency,, ⎽ when: preparation,individual/human,,,
strength of symptoms,strength of symptoms,,,individual/human,,,
similarity in political ideologies,similarity in political ideologies,,,cultural,,,
similarity in symptoms ⎺  to COVID-19,similarity in symptoms,, ⎺  to COVID-19,individual/human,,,
size of indoor venue,size of indoor venue,,,manufactured,,,
size of population,size of population,,,social,,,
size of private healthcare market,size of private healthcare market,,,social,,,
quality of sleep,quality of sleep,,,individual/human,,,
acceptance of masking,acceptance of masking,,,cultural,,,
 of social harmony, of social harmony,,,cultural,,,
strength of social skills,strength of social skills,,,individual/human,,,
 of socioeconomic privilege, of socioeconomic privilege,,,individual/human,,,
strength of Wi-Fi connection,strength of Wi-Fi connection,,,digital,,,
spending on luxuries,spending on luxuries,,,financial,,,
spending on personal protective equipment,spending on personal protective equipment,,,financial,,,
enforcement of hygiene standards ⎻ subject: provider (public),enforcement of hygiene standards,, ⎻ subject: provider (public),social,,,
standardization of private provider qualifications,standardization of private provider qualifications,,,governmental/political,,,
standardization of social inclusion in TB care,standardization of social inclusion in TB care,,,governmental/political,,,
strength of public TB program,strength of public TB program,,,governmental/political,,,
strength of regulatory framework for medical education,strength of regulatory framework for medical education,,,governmental/political,,,
strength of regulatory framework for private healthcare,strength of regulatory framework for private healthcare,,,governmental/political,,,
strength of Wi-Fi connection ⎼ where: at home,strength of Wi-Fi connection,, ⎼ where: at home,digital,,,
spending on TB adherence support ⎻ subject: government,spending on TB adherence support,, ⎻ subject: government,financial,,,
spending on TB diagnostic subsidies ⎻ subject: government,spending on TB diagnostic subsidies,, ⎻ subject: government,financial,,,
profit ⎻ subject: business (supermarket),profit,, ⎻ subject: business (supermarket),financial,,,
surplus of personal protective equipment ⎺ masks,surplus of personal protective equipment,, ⎺ masks,manufactured,,,
surplus of basic necessities,surplus of basic necessities,,,manufactured,,,
surplus of personal protective equipment,surplus of personal protective equipment,,,manufactured,,,
skepticism about unverified COVID-19 information,skepticism about unverified COVID-19 information,,,digital,,,
practice of TB testing ⎻ subject: provider (private),practice of TB testing,, ⎻ subject: provider (private),social,,,
time spent  listening to music,time spent  listening to music,,,digital,,,
time spent  visiting healthcare providers,time spent  visiting healthcare providers,,,individual/human,,,
cost of healthcare ⎺ total,cost of healthcare,, ⎺ total,financial,,,
 of traffic congestion, of traffic congestion,,,manufactured,,,
"training in TB testing ⎻ subject: provider (private, primary)",training in TB testing,," ⎻ subject: provider (private, primary)",governmental/political,,,
"training in TB symptoms ⎻ subject: provider (private, primary)",training in TB symptoms,," ⎻ subject: provider (private, primary)",governmental/political,,,
"training in patient education ⎻ subject: provider (private, primary)",training in patient education,," ⎻ subject: provider (private, primary)",governmental/political,,,
capacity to analyze data,capacity to analyze data,,,digital,,,
rate of TB transmission,rate of TB transmission,,,social,,,
restrictions on travel ⎺ COVID-19-related,restrictions on travel,, ⎺ COVID-19-related,governmental/political,,,
trust in government,trust in government,,,governmental/political,,,
trust in pharmacy staff,trust in pharmacy staff,,,social,,,
practice of under-reporting TB cases ⎻ subject: healthcare system,practice of under-reporting TB cases,, ⎻ subject: healthcare system,governmental/political,,,
use of delivery service,use of delivery service,,,manufactured,,,
use of fluoroquinolone antibiotics,use of fluoroquinolone antibiotics,,,social,,,
use of inappropriate tests for TB ⎻ subject: provider (private),use of inappropriate tests for TB,, ⎻ subject: provider (private),social,,,
use of outdoor environment,use of outdoor environment,,,ecological/natural,,,
effectiveness of sputum TB test as a patient communication tool,effectiveness of sputum TB test as a patient communication tool,,,social,,,
value of gross domestic product,value of gross domestic product,,,financial,,GDP,
variety in physical stimulation in learning environment,variety in physical stimulation in learning environment,,,individual/human,,,
variety in types of food prepared at home,variety in types of food prepared at home,,,individual/human,,,
perception of visual attractiveness ⎺ personal protective equipment,perception of visual attractiveness,, ⎺ personal protective equipment,manufactured,,,
time spent  waiting ⎺ for public healthcare,time spent  waiting,, ⎺ for public healthcare,individual/human,,,
time spent  waiting ⎺ for outdoor seating,time spent  waiting,, ⎺ for outdoor seating,individual/human,,,
willingness to adopt a pet,willingness to adopt a pet,,,individual/human,,,
willingness to ask questions ⎽ when: remote learning,willingness to ask questions,, ⎽ when: remote learning,individual/human,,,
demand for laptops,demand for laptops,,,manufactured,,,
willingness to automate sourcing personal protective equipment,willingness to automate sourcing personal protective equipment,,,individual/human,,,
willingness to do harm,willingness to do harm,,,individual/human,,,
willingness to contact others,willingness to contact others,,,individual/human,,,
willingness to cook at home,willingness to cook at home,,,individual/human,,,
willingness to change habits,willingness to change habits,,,individual/human,,,
willingness to eat alone,willingness to eat alone,,,individual/human,,,
willingness to eat in public,willingness to eat in public,,,individual/human,,,
willingness to encourage adherence to public health measures,willingness to encourage adherence to public health measures,,,individual/human,,,
willingness to exercise at night,willingness to exercise at night,,,individual/human,,,
adherence to policies,adherence to policies,,,individual/human,,,
willingness to offer assistance,willingness to offer assistance,,,individual/human,,,
willingness to learn new abilities,willingness to learn new abilities,,,individual/human,,,
willingness to make masks,willingness to make masks,,,individual/human,,,
willingness to pay tuition,willingness to pay tuition,,,individual/human,,,
willingness to repurpose items,willingness to repurpose items,,,individual/human,,,
willingness to send masks to others,willingness to send masks to others,,,individual/human,,,
willingness to shop/trade online,willingness to shop/trade online,,,individual/human,,,
willingness to shop/trade in person,willingness to shop/trade in person,,,individual/human,,,
willingness to accept a lower salary for the ability to work remotely,willingness to accept a lower salary for the ability to work remotely,,,individual/human,,,
willingness to explore different types of outdoor exercise,willingness to explore different types of outdoor exercise,,,individual/human,,,
willingness to use personal protective equipment,willingness to use personal protective equipment,,,individual/human,,,
capacity to be hosted virtually ⎻ subject: event,capacity to be hosted virtually,, ⎻ subject: event,social,,,
coverage of TB treatment,coverage of TB treatment,,,governmental/political,,,
 of centralized TB prevention and control, of centralized TB prevention and control,,,governmental/political,,,
implementation of Directly Observed Treatment Short Course ⎼ where: India,implementation of Directly Observed Treatment Short Course,, ⎼ where: India,governmental/political,,DOTS,
practice of drug susceptibility testing ⎻ subject: provider (private),practice of drug susceptibility testing,, ⎻ subject: provider (private),social,,DST,
effectiveness of addressing TB symptoms ⎻ subject: provider (private),effectiveness of addressing TB symptoms,, ⎻ subject: provider (private),social,,,
effectiveness of financing reforms for universal health coverage,effectiveness of financing reforms for universal health coverage,,,financial,,,
availability of TB treatment medication,availability of TB treatment medication,,,manufactured,,,
provision of community-based health insurance programs,provision of community-based health insurance programs,,,governmental/political,,,
 of social marginalization, of social marginalization,,,individual/human,membership in Indian Scheduled Caste,,
awareness of Revised National TB Control Program ⎻ subject: provider (private) ⎼ where: India,awareness of Revised National TB Control Program,, ⎻ subject: provider (private) ⎼ where: India,individual/human,,RNTCP,
effectiveness of TB treatment,effectiveness of TB treatment,,,social,,,
probability of TB infection,probability of TB infection,,,individual/human,,,
 of temporal resolution of performance data, of temporal resolution of performance data,,,digital,,,
implementation of toll-free phone notification system,implementation of toll-free phone notification system,,,governmental/political,,,
use of first-line TB medication ⎻ subject: provider (private),use of first-line TB medication,, ⎻ subject: provider (private),social,,,
willingness to vaccinate,willingness to vaccinate,,,individual/human,,,
frequency of house cleaning,frequency of house cleaning,,,individual/human,,,
number of COVID-19 deaths,number of COVID-19 deaths,,,social,,,
perception of safety,perception of safety,,,individual/human,,,
trust in family,trust in family,,,social,,,
dependence on family for decision-making,dependence on family for decision-making,,,social,,,
wish to work,wish to work,,,individual/human,,,
effectiveness of medical treatment,effectiveness of medical treatment,,,individual/human,,,
awareness of COVID-19,awareness of COVID-19,,,individual/human,,,
capacity to travel ⎼ where: to countryside,capacity to travel,, ⎼ where: to countryside,individual/human,,,
time spent  with family,time spent  with family,,,social,,,
fear,fear,,,individual/human,,,
trust in Allah,trust in Allah,,,cultural,,,
time spent  traveling ⎺ public ⎻ subject: provider (public) ⎼ where: healthcare facility,time spent  traveling,, ⎺ public ⎻ subject: provider (public) ⎼ where: healthcare facility,individual/human,,,
"willingness to to buy medicine ⎺ OTC, paracetamol ⎻ subject: provider (any) ⎼ where: local pharmacy ⎽ when: when sick",willingness to to buy medicine,," ⎺ OTC, paracetamol ⎻ subject: provider (any) ⎼ where: local pharmacy ⎽ when: when sick",individual/human,willingness to buy OTC medicine when sick,,
fear of spreading TB,fear of spreading TB,,,,,,
 of social isolation, of social isolation,,,,,,
consumption of alcohol,consumption of alcohol,,,,,,
adherence to treatment,adherence to treatment,,,,,,
necessity for self-reliance,necessity for self-reliance,,,,,,
perception of helplessness to quit alcohol addiction,perception of helplessness to quit alcohol addiction,,,,,,
consumption of of alcohol ⎺  in the morning,consumption of of alcohol,, ⎺  in the morning,individual/human,,,
preference for for private providers,preference for for private providers,,,,,,
number of of diagnostic scans/tests,number of of diagnostic scans/tests,,,,,,
suspicion of  false negative TB test ⎼ where: at private facility,suspicion of  false negative TB test,, ⎼ where: at private facility,,,,
awareness of of TB status,awareness of of TB status,,,,,,
 of anxiety, of anxiety,,,,,,
number of daily TB pills to be taken,number of daily TB pills to be taken,,,,,,
number of TB pills to be taken,number of TB pills to be taken,,,,,,
consumption of TB medication,consumption of TB medication,,,,,,
perception of consuming TB drugs for a long time,perception of consuming TB drugs for a long time,,,,,,
ability to concentrate,ability to concentrate,,,,,,
ability to pursue hobbies,ability to pursue hobbies,,,,,,
 of activity (mental+physical), of activity (mental+physical),,,,,,
ability to follow the prescribed medication regimen,ability to follow the prescribed medication regimen,,,,,,
quality of overall living conditions,quality of overall living conditions,,,,"In this case, the person recognizes the need to find employment and improve their home after their health has been restored. It highlights the interdependence between health and socioeconomic factors and the need to address both for overall well-being.",,
engagement with selling alcohol,engagement with selling alcohol,,,,,,
time  taken to diagnose TB ⎼ where: at private facility,time  taken to diagnose TB,, ⎼ where: at private facility,,,,
preference for public provider,preference for public provider,,,,,,
delay in in seeking care,delay in in seeking care,,,,,,
delay in initiation of TB medication,delay in initiation of TB medication,,,,,,
ability to perform daily household activities,ability to perform daily household activities,,,,,,
 of sympathy from people, of sympathy from people,,,,,,
quality of mood,quality of mood,,,,,,
 of repentance, of repentance,,,,,,
wish to consume alcohol,wish to consume alcohol,,,,,,
preference for expensive alcohol,preference for expensive alcohol,,,,,,
prevalence of lockdown during Covid-19,prevalence of lockdown during Covid-19,,,,,,
access to expensive alcohol,access to expensive alcohol,,,,,,
ability to run local business,ability to run local business,,,,,,
engagement with gambling,engagement with gambling,,,,,,
support given to find ways of earning money (peers),support given to find ways of earning money (peers),,,,,,
ability to earn money,ability to earn money,,,,,,
instances of waking up from sleep ⎽ when: in the morning,instances of waking up from sleep,, ⎽ when: in the morning,,,,
ability to experience defecation reflex,ability to experience defecation reflex,,,,,,
dependence on chewing tobacco,dependence on chewing tobacco,,,,,,
dependence on smoking tobacco,dependence on smoking tobacco,,,,,,
fear of the police,fear of the police,,,,,,
 of courage to drink alcohol, of courage to drink alcohol,,,,,,
instances of dizziness,instances of dizziness,,,,,,
willingness to reveal their TB illness (peers),willingness to reveal their TB illness (peers),,,,,,
engagement with drinking alcohol (peers),engagement with drinking alcohol (peers),,,,,,
perception of catching TB infection,perception of catching TB infection,,,,,,
 of addiction to alcohol before getting TB, of addiction to alcohol before getting TB,,,,,,
perception of the ability to recover from TB,perception of the ability to recover from TB,,,,,,
engagement with drinking alcohol,engagement with drinking alcohol,,,,,,
dependence on consuming alcohol,dependence on consuming alcohol,,,,,,
quality of experience from private TB medication (patient),quality of experience from private TB medication (patient),,,,,,
perception of trust on government TB medication,perception of trust on government TB medication,,,,,,
quality of experience from private TB medication (family members),quality of experience from private TB medication (family members),,,,,,
support received from care coordinator to access government treatment,support received from care coordinator to access government treatment,,,,,,
provision of TB pills ⎻ subject: provider (public),provision of TB pills,, ⎻ subject: provider (public),,,,
difficulty of consuming TB pills,difficulty of consuming TB pills,,,,,,
preference for blending TB pills with government provided nutritional product,preference for blending TB pills with government provided nutritional product,,,,,,
number of family members and children living with patient,number of family members and children living with patient,,,,,,
demand for family members and children to take medication for precaution,demand for family members and children to take medication for precaution,,,,,,
perception of relief from TB symptoms,perception of relief from TB symptoms,,,,,,
perception of being recovered from TB,perception of being recovered from TB,,,,,,
participation in physical fight,participation in physical fight,,,,,,
willingness to take up chest X-ray ⎺ for diagnosis,willingness to take up chest X-ray,, ⎺ for diagnosis,,,,
emotion,emotion,,,,,,
frequency of coughing,frequency of coughing,,,,,,
participation in social gathering,participation in social gathering,,,,,,
suspicion,suspicion,,,,,,
 of improvement in health, of improvement in health,,,,,,
appreciation of patient ⎻ subject: others (community),appreciation of patient,, ⎻ subject: others (community),,,,
provision of TB pills ⎻ subject: provider (private),provision of TB pills,, ⎻ subject: provider (private),,,,
certainty of recovering from TB in 6 months,certainty of recovering from TB in 6 months,,,,,,
preference for government TB treatment over private,preference for government TB treatment over private,,,,,,
consumption of chewing tobacco without alcohol,consumption of chewing tobacco without alcohol,,,,,,
amount of chewing tobacco consumed,amount of chewing tobacco consumed,,,,,,
tendency to vomit away from people's home,tendency to vomit away from people's home,,,,,,
tendency to sleep at a distance from closed ones,tendency to sleep at a distance from closed ones,,,,,,
 of intoxication from alcohol, of intoxication from alcohol,,,,,,
instances of being imprisoned,instances of being imprisoned,,,,,,
perception of degree of impact to patient's family due to alcoholism,perception of degree of impact to patient's family due to alcoholism,,,,,,
willingness to stay inside home,willingness to stay inside home,,,,,,
 of compassion towards others, of compassion towards others,,,,,,
tendency to eat food alone,tendency to eat food alone,,,,,,
tendency to eat food with family members,tendency to eat food with family members,,,,,,
capacity to sleep more,capacity to sleep more,,,,,,
tendency to inform people about their TB status,tendency to inform people about their TB status,,,,,,
 of repentance ⎺ from engaging with TB affected peer, of repentance,, ⎺ from engaging with TB affected peer,,,,
 of expectation from closed ones to reveal their TB status, of expectation from closed ones to reveal their TB status,,,,,,
awareness of TB status of peer,awareness of TB status of peer,,,,,,
engagement with spending time with TB affected peer,engagement with spending time with TB affected peer,,,,,,
 of empathy of peers, of empathy of peers,,,,,,
 ⎺ fun,,, ⎺ fun,,,,
 of fun, of fun,,,,,,
,,,,,,,
 of fun, of fun,,,,,,
,,,,,,,
trust in information ⎻ subject: national organization,trust in information,, ⎻ subject: national organization,,,,
distance from audience,distance from audience,,,,,,
convenience of hosting education & outreach events ⎻ subject: local ngo,convenience of hosting education & outreach events,, ⎻ subject: local ngo,,,,
 of project completion, of project completion,,,,,,
access to partnership,access to partnership,,,,,,
capability to start a project,capability to start a project,,,,,,
willingness to participate in NGO initiated seafood projects,willingness to participate in NGO initiated seafood projects,,,,,,
number of direct interaction with consumer ⎻ subject: fishermen,number of direct interaction with consumer,, ⎻ subject: fishermen,,,,
number of sectors,number of sectors,,,,,,
access to direct interaction between fishermen and consumer,access to direct interaction between fishermen and consumer,,,,,,
knowledge of of stakeholder status in seafood system,knowledge of of stakeholder status in seafood system,,,,,,
amount of consumer purchase seafood in restaurants,amount of consumer purchase seafood in restaurants,,,,,,
impact of chef,impact of chef,,,,,,
,,,,,,,
 of exposure to a seafood species ⎻ subject: consumer, of exposure to a seafood species,, ⎻ subject: consumer,,,,
willingness to try a new species at a restaurant,willingness to try a new species at a restaurant,,,,,,
efficiency of systematic changes and transition,efficiency of systematic changes and transition,,,,,,
access to local seafood,access to local seafood,,,,,,
amount of labor spent on processing whole seafood,amount of labor spent on processing whole seafood,,,,,,
willingness to serve the seafood ⎻ subject: business (restaurant),willingness to serve the seafood,, ⎻ subject: business (restaurant),,,,
access to to domestic seafood processing infrastructure,access to to domestic seafood processing infrastructure,,,,,,
necessity for processing infrastructure,necessity for processing infrastructure,,,,,,
amount of certain regional seafood species ,amount of certain regional seafood species ,,,,,,
curiosity about seafood ⎻ subject: chef,curiosity about seafood,, ⎻ subject: chef,,,,
